Jugador;País;Posc;Equipo;Liga;Edad;PJ;PG;PE;PP;Puntosjugador;Pts;Titular;Suplente;Mín;90 s;Gls;GC;Ass;G-TP;T.Penalti;Penal.Anotado;TA;TR;xG;xAG;Avances;Pases.Peligrosos;Pases.Recibidos;Valor Mercado (millones de e);Salario semanal;Salario anual;Dis;G/T;G-xG;Posesion;Regates;RegatesExt;RegExitosos%;DesafiosDef;DesafExt%;DisBloq;Intercep;Despejes;onG;onGC;Dentro-Fuera;Dentro-Fuera_xG
Serge Aurier;CIV;DF;Nott'ham Forest;PremierLeague;30;12;9;9;20;1;32;10;2;833;9,3;0;67;2;0;0;0;2;0;0,2;0,5;10;47;29;3;50000;2600000;6;0;-0,2;40,6;14;3;21,4;11;45,5;3;9;36;9;15;-0,23;-0,45
Taiwo Awoniyi;NGA;DL;Nott'ham Forest;PremierLeague;25;20;9;9;20;1,05;32;12;8;1042;11,6;6;67;3;6;0;0;2;0;4,7;1,7;8;14;45;25;50000;2600000;22;0,27;1,3;40,6;16;8;50;2;50;2;1;9;17;21;0,18;-0,25
Leandro Trossard;BEL;DL;Arsenal;PremierLeague;28;34;28;5;5;2,32;89;18;16;1649;18,3;12;29;1;12;0;0;2;0;7,9;2,8;66;76;155;38;90000;4680000;60;0,2;4,1;58,2;47;25;53,2;25;36;1;8;6;45;10;0,54;0,05
Jordan Ayew;GHA;DL;Crystal Palace;PremierLeague;31;35;13;10;15;1,29;49;30;5;2543;28,3;4;58;7;4;0;0;9;1;3,9;4,2;74;63;173;4;25000;1300000;48;0,08;0,1;42,3;130;52;40;42;50;2;16;15;33;37;-0,45;-0,12
James Mcatee;ENG;CC;Sheffield Utd;PremierLeague;20;30;3;7;28;0,5;16;20;10;1822;20,2;3;104;3;2;1;1;2;0;3,1;2,9;56;51;110;;;;0;;0;35,8;92;33;35,9;33;39,4;0;11;18;19;65;-0,98;0,25
James Milner;ENG;DF;Brighton;PremierLeague;37;15;12;12;14;1,47;48;11;4;773;8,6;0;62;2;0;0;0;3;0;0,3;1,8;11;69;73;1;60000;3120000;5;0;-0,3;59,8;8;3;37,5;14;64,3;0;8;16;10;12;-0,06;0,29
James Tarkowski;ENG;DF;Everton;PremierLeague;30;38;13;9;16;1,26;42;38;0;3419;38;1;51;1;1;0;0;11;0;2,6;2,5;15;130;20;18;100000;5200000;25;0,04;-1,6;40,8;20;16;80;48;56,3;56;56;191;40;51;-0,29;29,83
James Tomkins;ENG;DF;Crystal Palace;PremierLeague;34;4;13;10;15;2,25;49;0;4;10;0,1;0;58;0;0;0;0;0;0;0;0;0;1;0;0,8;50000;2600000;0;;0;42,3;0;0;;0;;0;1;0;0;2;-18,03;-7,14
Shandon Baptiste;GRN;CC;Brentford;PremierLeague;25;10;10;9;19;1;39;2;8;229;2,5;1;65;1;1;0;0;1;0;0,9;0,2;3;5;1;1;15000;780000;2;0,5;0,1;45,2;11;6;54,5;5;20;1;3;6;3;5;-0,59;0,68
James Trafford;ENG;PO;Burnley;PremierLeague;20;28;5;9;24;0,5;24;28;0;2520;28;0;78;0;0;0;0;2;0;0;0;0;6;0;18;25000;1300000;0;;0;47,4;2;2;100;2;100;0;1;18;27;62;-1,05;-0,26
Valentín Barco;ARG;DF;Brighton;PremierLeague;19;6;12;12;14;0,5;48;3;3;307;3,4;0;62;0;0;0;0;1;0;0,2;0,2;8;14;20;7;25000;1300000;4;0;-0,2;59,8;11;5;45,5;8;75;0;4;3;1;9;-2,37;-0,25
Ross Barkley;ENG;CC;Luton Town;PremierLeague;29;32;6;8;24;0,69;26;30;2;2618;29,1;5;85;4;5;0;0;6;0;4,1;3,7;48;163;39;7;30000;1560000;66;0,08;0,9;42,4;104;66;63,5;48;22,9;9;25;51;43;66;0,33;-0,1
Jan Paul van Hecke;NED;DF;Brighton;PremierLeague;23;28;12;12;14;1,32;48;26;2;2369;26,3;0;62;0;0;0;0;4;0;1,2;0,9;25;147;7;18;30000;1560000;15;0;-1,2;59,8;9;5;55,6;45;60;27;30;76;40;38;0,85;0,06
Jarell Quansah;ENG;DF;Liverpool;PremierLeague;20;17;24;10;4;2,35;82;13;4;1190;13,2;2;41;0;2;0;0;1;0;1;0,1;13;67;1;22;15000;780000;6;0,33;1;61,3;7;4;57,1;20;70;8;17;39;31;15;0,04;0,46
Jason Steele;ENG;PO;Brighton;PremierLeague;32;17;12;12;14;1,12;48;17;0;1530;17;0;62;0;0;0;0;0;0;0;0;0;0;0;4;20000;1040000;0;;0;59,8;0;0;;3;0;0;0;8;24;34;-0,73;0,3
Jean-Ricner Bellegarde;FRA;CC;Wolves;PremierLeague;25;22;13;7;18;1,23;46;10;12;958;10,6;2;65;1;2;0;0;0;1;1,6;1;30;39;49;;35000;1820000;15;0,13;0,4;48,9;39;17;43,6;15;46,7;2;8;14;7;23;-1,54;-0,96
Saïd Benrahma;ALG;DL;West Ham;PremierLeague;27;13;14;10;14;1,62;52;5;8;620;6,9;0;74;1;0;0;1;1;0;1,8;1,4;28;28;70;17;55000;2860000;18;0;-1,8;41,1;38;14;36,8;15;26,7;0;5;7;12;8;1,16;0,08
Rodrigo Bentancur;URU;CC;Tottenham;PremierLeague;26;23;20;6;12;1,43;66;13;10;1005;11,2;1;61;1;1;0;0;7;0;1,9;0,5;16;72;31;35;75000;3900000;18;0,06;-0,9;61,6;21;11;52,4;24;41,7;4;17;16;17;25;-1,5;-0,28
Jóhann Berg Guðmundsson;ISL;CC;Burnley;PremierLeague;32;26;5;9;24;0,5;24;12;14;1192;13,2;1;78;3;1;0;0;2;0;1,9;2,7;13;59;69;;35000;1820000;15;0,07;-0,9;47,4;16;5;31,3;16;43,8;0;16;16;20;25;0,92;0,48
Sander Berge;NOR;CC;Burnley;PremierLeague;25;37;5;9;24;0,62;24;34;3;3005;33,4;1;78;2;1;0;0;10;1;1,9;2,4;64;164;29;20;40000;2080000;25;0,04;-0,9;47,4;41;20;48,8;58;58,6;20;23;60;36;69;-0,12;-0,33
Luke Berry;ENG;CC;Luton Town;PremierLeague;31;17;6;8;24;0,59;26;2;15;323;3,6;2;85;1;2;0;0;1;0;1;0,3;1;8;7;0,8;10000;520000;8;0,25;1;42,4;3;2;66,7;3;66,7;1;0;3;8;8;0,96;-0,69
Joe Gomez;ENG;DF;Liverpool;PremierLeague;26;32;24;10;4;2,22;82;17;15;1786;19,8;0;41;1;0;0;0;5;0;0,8;1,3;44;100;105;28;85000;4420000;19;0;-0,8;61,3;32;15;46,9;63;47,6;4;19;50;47;19;0,47;-0,22
Jordan Beyer;GER;DF;Burnley;PremierLeague;23;15;5;9;24;0,73;24;15;0;1234;13,7;0;78;1;0;0;0;6;0;0,5;0,3;9;25;1;10;3000;156000;5;0;-0,5;47,4;7;4;57,1;24;58,3;15;16;68;14;23;0,5;0,1
Philip Billing;DEN;CC;Bournemouth;PremierLeague;27;29;13;9;16;1,24;48;13;16;1398;15,5;2;67;2;2;0;0;3;1;2,5;3,2;22;53;63;15;45000;2340000;30;0,07;-0,5;44,4;33;12;36,4;27;33,3;5;20;28;18;36;-1,38;-1,04
Jay Rodriguez;ENG;DL;Burnley;PremierLeague;34;21;5;9;24;0,62;24;7;14;822;9,1;2;78;1;1;1;1;0;0;3,5;0,2;2;17;28;0,8;40000;2080000;21;0,05;-1,5;47,4;9;6;66,7;13;53,8;1;1;8;11;18;0,27;0,44
Yves Bissouma;MLI;CC;Tottenham;PremierLeague;26;28;20;6;12;1,75;66;26;2;2068;23;0;61;0;0;0;0;10;2;1,4;0,4;43;169;13;28;55000;2860000;24;0;-1,4;61,6;47;27;57,4;61;67,2;5;37;43;45;35;0,24;-0,38
Jayden Bogle;ENG;DF;Sheffield Utd;PremierLeague;23;34;3;7;28;0,44;16;32;2;2788;31;3;104;0;3;0;0;9;0;2,3;1;38;60;92;;20000;1040000;32;0,09;0,7;35,8;60;25;41,7;70;50;11;32;97;29;79;1,09;0,94
Jean-Philippe Mateta;FRA;DL;Crystal Palace;PremierLeague;26;35;13;10;15;1,23;49;25;10;2282;25,4;16;58;5;14;2;2;3;0;10,9;3,1;29;25;135;20;50000;2600000;44;0,32;5,1;42,3;65;25;38,5;10;60;4;4;14;46;44;0,32;-0,35
Willy Boly;CIV;DF;Nott'ham Forest;PremierLeague;32;20;9;9;20;1;32;18;2;1438;16;2;67;1;2;0;0;3;1;1,5;1,3;4;32;3;2,5;40000;2080000;14;0,14;0,5;40,6;7;3;42,9;40;55;21;25;90;17;23;0,17;-0,13
Jefferson Lerma;COL;CC;Crystal Palace;PremierLeague;28;28;13;10;15;1,07;49;27;1;2400;26,7;1;58;1;1;0;0;8;0;2,7;2,2;14;106;51;;70000;3640000;34;0,03;-1,7;42,3;20;11;55;40;47,5;12;36;72;32;46;-1,67;-0,42
Jeffrey Schlupp;GHA;DL;Crystal Palace;PremierLeague;30;29;13;10;15;1,34;49;17;12;1352;15;2;58;2;2;0;0;1;0;1,8;2,3;20;33;52;5;50000;2600000;19;0,11;0,2;42,3;41;17;41,5;18;50;2;8;24;12;25;-1,39;-0,65
Jesurun Rak Sakyi;ENG;CC;Crystal Palace;PremierLeague;20;6;13;10;15;0,33;49;0;6;136;1,5;0;58;0;0;0;0;0;0;0,4;0,2;7;2;18;;;;5;0;-0,4;42,3;10;4;40;3;66,7;0;3;1;1;3;-1,35;-0,39
Rhian Brewster;ENG;DL;Sheffield Utd;PremierLeague;23;13;3;7;28;0,54;16;3;10;346;3,8;0;104;0;0;0;0;0;1;0,4;0,1;1;3;21;3;35000;1820000;7;0;-0,4;35,8;5;0;0;2;0;0;1;2;0;8;-0,29;-0,46
Raheem Sterling;ENG;DL;Chelsea;PremierLeague;28;31;18;9;11;1,48;63;22;9;1978;22;8;63;4;8;0;0;7;0;6,5;4,5;120;78;242;35;325000;16900000;51;0,16;1,5;58,6;132;45;34,1;26;46,2;0;13;9;41;38;-0,55;-0,15
Josh Brownhill;ENG;CC;Burnley;PremierLeague;27;33;5;9;24;0,67;24;23;10;2252;25;4;78;2;4;0;0;4;1;1,9;2,1;19;90;36;15;45000;2340000;28;0,14;2,1;47,4;13;7;53,8;37;73;8;34;40;27;53;-0,19;0,12
Marc Cucurella;ESP;DF;Chelsea;PremierLeague;25;21;18;9;11;1,81;63;20;1;1782;19,8;0;63;2;0;0;0;10;0;1,1;1,1;31;50;73;25;175000;9100000;8;0;-1,1;58,6;13;4;30,8;64;53,1;13;22;48;50;33;1,02;-0,01
Santiago Bueno;URU;DF;Wolves;PremierLeague;24;12;13;7;18;0,92;46;9;3;822;9,1;0;65;0;0;0;0;1;0;0;0,1;3;11;2;;30000;1560000;0;;0;48,9;1;1;100;11;45,5;12;6;33;12;18;-0,35;-0,76
Reece Burke;ENG;DF;Luton Town;PremierLeague;26;22;6;8;24;0,68;26;20;2;1660;18,4;0;85;4;0;0;0;5;0;1,3;1,4;11;67;14;2;12500;650000;13;0;-1,3;42,4;8;4;50;26;46,2;18;18;78;24;37;0,32;0,26
Lesley Ugochukwu;FRA;CC;Chelsea;PremierLeague;19;12;18;9;11;1,5;63;3;9;301;3,3;0;63;0;0;0;0;2;0;0;0,1;8;17;3;10;45000;2340000;0;;0;58,6;6;3;50;10;40;2;1;5;3;6;-1,39;-0,7
Joe Rothwell;ENG;CC;Bournemouth;PremierLeague;28;11;13;9;16;1,18;48;3;8;386;4,3;0;67;0;0;0;0;0;0;0,1;0,2;6;20;3;1,5;8000;416000;2;0;-0,1;44,4;13;7;53,8;8;25;2;3;2;4;12;-1,72;-1,83
Tom Cairney;SCO;CC;Fulham;PremierLeague;32;34;13;8;17;1,18;47;14;20;1488;16,5;1;61;4;1;0;0;3;0;1,1;2,3;35;145;72;2;30000;1560000;17;0,06;-0,1;50,6;33;26;78,8;25;52;4;13;6;29;27;0,49;0,26
Joël Matip;CMR;DF;Liverpool;PremierLeague;31;10;24;10;4;2,3;82;9;1;781;8,7;0;41;0;0;0;0;2;0;0,5;0,1;8;34;1;;100000;5200000;5;0;-0,5;61,3;2;0;0;12;66,7;12;9;43;20;9;0,11;-0,64
Matty Cash;POL;DF;Aston Villa;PremierLeague;25;29;20;8;10;1,86;68;23;6;2142;23,8;2;61;2;2;0;0;8;0;4,2;2,3;62;88;101;25;80000;4160000;33;0,06;-2,2;53,1;41;12;29,3;59;49,2;14;18;59;49;36;0,41;0,28
John Egan;IRL;DF;Sheffield Utd;PremierLeague;30;6;3;7;28;0,17;16;6;0;482;5,4;0;104;0;0;0;0;2;0;0,2;0;0;5;1;1;12500;650000;3;0;-0,2;35,8;0;0;;11;36,4;4;13;39;4;17;-0,71;-1,23
Timothy Castagne;BEL;DF;Fulham;PremierLeague;27;34;13;8;17;1,26;47;29;5;2634;29,3;1;61;3;1;0;0;3;0;1,6;1,9;48;77;113;17;65000;3380000;14;0,07;-0,6;50,6;30;17;56,7;44;59,1;10;38;69;41;40;0,84;1,4
John Fleck;SCO;CC;Sheffield Utd;PremierLeague;31;4;3;7;28;0;16;1;3;92;1;0;104;0;0;0;0;1;0;0;0,4;2;3;0;;25000;1300000;0;;0;35,8;1;0;0;1;0;0;0;1;1;5;-2,16;-0,94
Trevoh Chalobah;ENG;DF;Chelsea;PremierLeague;24;13;18;9;11;2,15;63;10;3;952;10,6;1;63;0;1;0;0;1;0;0,2;0,1;5;31;9;;50000;2600000;2;0,5;0,8;58,6;2;1;50;15;66,7;7;8;51;31;14;1,72;0
John McGinn;SCO;CC;Aston Villa;PremierLeague;28;35;20;8;10;1,83;68;35;0;2999;33,3;6;61;4;6;0;0;9;1;5;4,6;59;189;84;30;120000;6240000;40;0,15;1;53,1;96;54;56,3;77;41,6;4;21;21;68;52;0,69;1,22
Youssef Chermiti;POR;DL;Everton;PremierLeague;19;18;13;9;16;1,33;42;1;17;208;2,3;0;51;0;0;0;0;3;0;0,7;0,8;5;5;15;7;30000;1560000;7;0;-0,7;40,8;11;3;27,3;5;20;1;1;2;3;4;-0,15;-0,04
Tawanda Chirewa;ZIM;CC;Wolves;PremierLeague;19;8;13;7;18;0,25;46;1;7;145;1,6;0;65;0;0;0;0;1;0;0,2;0;1;7;8;;;;3;0;-0,2;48,9;3;1;33,3;3;66,7;0;1;0;0;2;-0,88;0,11
Manor Solomon;ISR;DL;Tottenham;PremierLeague;24;5;20;6;12;2,6;66;2;3;199;2,2;0;61;2;0;0;0;1;0;0,4;0,8;17;11;44;17;60000;3120000;7;0;-0,4;61,6;17;10;58,8;2;50;0;3;2;6;2;1,56;1,26
Tahith Chong;NED;CC;Luton Town;PremierLeague;23;33;6;8;24;0,45;26;20;13;1982;22;4;85;0;4;0;0;4;0;2,7;0,5;57;72;101;4;30000;1560000;31;0,13;1,3;42,4;72;25;34,7;33;45,5;6;8;11;26;51;-0,63;-0,44
Ryan Christie;SCO;CC;Bournemouth;PremierLeague;28;37;13;9;16;1,22;48;35;2;2907;32,3;0;67;5;0;0;0;6;0;2,3;5,4;60;167;78;12;50000;2600000;43;0;-2,3;44,4;98;51;52;92;42,4;11;52;53;44;56;-0,2;-0,03
Oliver Skipp;ENG;CC;Tottenham;PremierLeague;22;21;20;6;12;1,9;66;5;16;707;7,9;0;61;0;0;0;0;3;0;0,7;0,6;8;37;25;15;40000;2080000;4;0;-0,7;61,6;3;2;66,7;18;61,1;1;3;9;15;17;-0,75;-0,53
Jordan Clark;ENG;CC;Luton Town;PremierLeague;29;23;6;8;24;0,57;26;14;9;1304;14,5;1;85;1;1;0;0;4;0;1;1,3;21;51;39;1;5000;260000;17;0,06;0;42,4;42;12;28,6;39;28,2;3;11;15;22;41;-0,72;0,13
Nathaniel Clyne;ENG;DF;Crystal Palace;PremierLeague;32;19;13;10;15;1,53;49;14;5;1338;14,9;0;58;0;0;0;0;0;0;0,2;0,2;10;33;18;1;80000;4160000;4;0;-0,2;42,3;16;8;50;21;66,7;6;10;33;31;16;1,7;0,21
Séamus Coleman;IRL;DF;Everton;PremierLeague;34;12;13;9;16;1,08;42;7;5;665;7,4;0;51;0;0;0;0;0;0;0;1;5;22;16;;55000;2860000;0;;0;40,8;13;6;46,2;16;68,8;4;7;26;5;10;-0,48;0,14
Nathan Collins;IRL;DF;Brentford;PremierLeague;22;32;10;9;19;1,13;39;29;3;2652;29,5;1;65;1;1;0;0;3;0;1,7;2,2;11;97;18;22;30000;1560000;10;0,1;-0,7;45,2;17;11;64,7;29;65,5;30;44;141;47;51;0,45;0,58
Jonny Evans;NIR;DF;Manchester Utd;PremierLeague;35;23;18;6;14;1,65;60;15;8;1392;15,5;0;58;1;0;0;0;2;0;0,1;1,2;7;37;1;2;65000;3380000;1;0;-0,1;50,6;7;4;57,1;21;57,1;18;23;76;21;24;-0,28;-0,47
Lewis Cook;ENG;CC;Bournemouth;PremierLeague;26;33;13;9;16;1,24;48;32;1;2786;31;0;67;3;0;0;0;5;1;0,4;4,3;22;142;15;8;40000;2080000;12;0;-0,4;44,4;36;21;58,3;63;54;11;65;46;43;50;0,63;0,36
Mason Mount;ENG;CC;Manchester Utd;PremierLeague;24;14;18;6;14;1,36;60;5;9;516;5,7;1;58;0;1;0;0;2;0;0,4;0,3;9;21;34;35;250000;13000000;5;0,2;0,6;50,6;12;4;33,3;16;37,5;1;6;3;3;13;-2,02;-0,29
Maxwel Cornet;CIV;CC;West Ham;PremierLeague;26;7;14;10;14;0,43;52;1;6;112;1,2;1;74;0;1;0;0;0;0;0,4;0,2;3;2;8;6;65000;3380000;4;0,25;0,6;41,1;2;0;0;5;20;0;2;1;2;3;-0,45;-0,98
Vladimír Coufal;CZE;DF;West Ham;PremierLeague;30;36;14;10;14;1,39;52;36;0;3132;34,8;0;74;7;0;0;0;7;1;0,3;4;68;119;126;8;35000;1820000;8;0;-0,3;41,1;38;12;31,6;75;50,7;15;43;97;57;69;0,28;0,58
Jordan Pickford;ENG;PO;Everton;PremierLeague;29;38;13;9;16;1,26;42;38;0;3420;38;0;51;0;0;0;0;5;0;0;0,1;1;6;0;22;125000;6500000;0;;0;40,8;1;1;100;1;100;0;0;19;40;51;;
Luke Shaw;ENG;DF;Manchester Utd;PremierLeague;28;12;18;6;14;1,83;60;12;0;959;10,7;0;58;0;0;0;0;6;0;0;1;10;45;30;32;150000;7800000;2;0;0;50,6;11;7;63,6;15;60;11;6;39;16;13;0,43;0,51
Josh Cullen;IRL;CC;Burnley;PremierLeague;27;25;5;9;24;0,64;24;23;2;2057;22,9;2;78;3;2;0;0;9;0;0,6;1,8;22;123;22;10;40000;2080000;16;0,13;1,4;47,4;13;3;23,1;46;56,5;19;15;26;25;48;-0,08;-0,21
Mahmoud Dahoud;GER;CC;Brighton;PremierLeague;27;9;12;12;14;2,11;48;6;3;452;5;0;62;1;0;0;0;1;1;0,2;0,9;4;11;6;8;55000;2860000;6;0;-0,2;59,8;5;2;40;9;33,3;1;1;5;10;5;1,36;0,83
Mikkel Damsgaard;DEN;CC;Brentford;PremierLeague;23;23;10;9;19;0,87;39;7;16;842;9,4;0;65;2;0;0;0;2;0;0,9;1,4;16;61;32;10;30000;1560000;9;0;-0,9;45,2;20;9;45;40;35;1;11;10;17;9;1,45;0,47
José Sá;POR;PO;Wolves;PremierLeague;30;35;13;7;18;1,23;46;35;0;3037;33,7;0;65;1;0;0;0;1;0;0;0;0;1;0;18;40000;2080000;0;;0;48,9;3;3;100;1;0;0;0;21;47;58;0,61;0,26
Tom Davies;ENG;CC;Sheffield Utd;PremierLeague;25;9;3;7;28;0,44;16;2;7;221;2,5;0;104;0;0;0;0;2;0;0,4;0,1;3;8;3;1;30000;1560000;4;0;-0,4;35,8;8;2;25;9;33,3;1;3;6;2;11;-1,98;-0,71
Lewis Miley;ENG;CC;Newcastle Utd;PremierLeague;17;17;18;6;14;1,18;60;14;3;1202;13,4;1;62;3;1;0;0;1;0;1,2;1,7;14;53;54;25;5000;260000;13;0,08;-0,2;52,2;17;8;47,1;32;46,9;3;8;18;26;29;-1,28;-1,47
Nick Pope;ENG;PO;Newcastle Utd;PremierLeague;31;15;18;6;14;1,93;60;15;0;1345;14,9;0;62;0;0;0;0;1;0;0;0;0;0;0;22;60000;3120000;1;0;0;52,2;0;0;;1;0;0;0;7;36;16;1,21;1,17
Leander Dendoncker;BEL;CC;Aston Villa;PremierLeague;28;8;20;8;10;2,25;68;1;7;119;1,3;1;61;0;1;0;0;0;0;0,7;0;0;3;2;;90000;4680000;2;0,5;0,3;53,1;0;0;;5;80;2;2;3;3;3;-0,41;0,66
Moussa Diaby;FRA;DL;Aston Villa;PremierLeague;24;38;20;8;10;1,79;68;25;13;2174;24,2;6;61;8;6;0;0;1;0;7;6,6;94;72;183;50;130000;6760000;54;0,11;-1;53,1;70;29;41,4;22;18,2;1;9;6;41;40;-0,97;-0,26
Kieran Trippier;ENG;DF;Newcastle Utd;PremierLeague;32;28;18;6;14;1,46;60;26;2;2236;24,8;1;62;10;1;0;0;5;0;0,7;7,5;34;157;128;10;120000;6240000;8;0,13;0,3;52,2;22;16;72,7;77;48,1;8;24;57;49;43;-1,05;-0,46
Joško Gvardiol;CRO;DF;Manchester City;PremierLeague;21;28;28;7;3;2,5;91;26;2;2328;25,9;4;34;1;4;0;0;3;0;3,1;1,4;63;136;115;;200000;10400000;32;0,13;0,9;65,2;45;26;57,8;38;55,3;12;27;37;68;23;0,34;0,25
Lucas Digne;FRA;DF;Aston Villa;PremierLeague;30;33;20;8;10;1,76;68;27;6;2410;26,8;1;61;3;1;0;0;7;0;1,1;4,1;42;77;200;;120000;6240000;20;0,05;-0,1;53,1;33;10;30,3;44;56,8;2;26;67;54;41;0,31;-0,08
Martin Dúbravka;SVK;PO;Newcastle Utd;PremierLeague;34;23;18;6;14;1,48;60;22;1;1985;22,1;0;62;0;0;0;0;1;0;0;0,1;0;0;0;1;40000;2080000;0;;0;52,2;0;0;;4;0;0;0;8;48;42;-0,79;-0,82
Lewis Dobbin;ENG;CC;Everton;PremierLeague;20;12;13;9;16;0,92;42;1;11;232;2,6;1;51;0;1;0;0;1;0;0,3;0,5;6;3;20;2;8000;416000;5;0,2;0,7;40,8;21;6;28,6;9;55,6;1;1;0;2;3;-0,11;0,79
Paul Dummett;WAL;DF;Newcastle Utd;PremierLeague;31;5;18;6;14;2,6;60;0;5;20;0,2;0;62;0;0;0;0;0;0;0;0;1;1;0;0,8;35000;1820000;1;0;0;52,2;0;0;;1;100;0;0;1;0;1;-5,14;-2,62
Matt Doherty;IRL;DF;Wolves;PremierLeague;31;30;13;7;18;1,4;46;9;21;1150;12,8;1;65;0;1;0;0;2;0;0,8;1,3;12;31;64;2;50000;2600000;9;0,11;0,2;48,9;14;6;42,9;23;52,2;5;7;47;17;21;0,12;-0,04
Julio Enciso;PAR;CC;Brighton;PremierLeague;19;12;12;12;14;1,25;48;5;7;475;5,3;0;62;2;0;0;0;2;0;1,4;1,7;28;21;29;22;10000;520000;28;0;-1,4;59,8;29;17;58,6;7;28,6;0;0;3;8;12;-0,67;-0,33
Matt Ritchie;SCO;DL;Newcastle Utd;PremierLeague;33;13;18;6;14;1,92;60;0;13;128;1,4;1;62;0;1;0;0;1;0;1;0;5;8;13;0,8;45000;2340000;6;0,17;0;52,2;2;0;0;4;50;2;1;5;3;5;-2,09;-1,14
Nicolás Domínguez;ARG;CC;Nott'ham Forest;PremierLeague;25;26;9;9;20;0,92;32;19;7;1495;16,6;2;67;2;2;0;0;4;0;1,3;1;14;91;43;17;35000;1820000;22;0,09;0,7;40,6;17;7;41,2;48;47,9;5;18;24;16;27;-0,33;-0,08
Justin Kluivert;NED;CC;Bournemouth;PremierLeague;24;32;13;9;16;1,22;48;26;6;1916;21,3;7;67;1;7;0;0;5;0;6,2;1,9;65;50;114;13;80000;4160000;56;0,13;0,8;44,4;67;24;35,8;30;26,7;1;8;11;29;23;1,42;0,65
Tommy Doyle;ENG;CC;Wolves;PremierLeague;21;26;13;7;18;1,08;46;11;15;1222;13,6;0;65;0;0;0;0;2;0;0,4;0,4;21;81;17;8;10000;520000;14;0;-0,4;48,9;3;1;33,3;23;60,9;9;12;18;18;24;-0,07;0,33
Lewis Dunk;ENG;DF;Brighton;PremierLeague;31;33;12;12;14;1,3;48;33;0;2869;31,9;3;62;1;3;0;0;7;1;3,1;0,9;33;152;13;28;80000;4160000;33;0,09;-0,1;59,8;8;5;62,5;36;36,1;37;31;90;49;52;0,56;-0,31
Kalvin Phillips;ENG;CC;West Ham;PremierLeague;27;8;14;10;14;0,63;52;3;5;309;3,4;0;74;0;0;0;0;3;1;0,1;0;3;19;4;;150000;7800000;2;0;-0,1;41,1;5;1;20;9;55,6;1;4;2;4;10;-1,52;-0,5
Odsonne Édouard;FRA;DL;Crystal Palace;PremierLeague;25;30;13;10;15;1,23;49;17;13;1555;17,3;7;58;0;7;0;0;4;0;6,2;1,2;33;36;100;15;90000;4680000;51;0,14;0,8;42,3;50;19;38;19;21,1;1;6;19;14;24;-1,01;0,06
Keane Lewis-Potter;ENG;DL;Brentford;PremierLeague;22;30;10;9;19;0,93;39;15;15;1441;16;3;65;1;3;0;0;0;0;6,3;1,7;56;32;135;12;35000;1820000;43;0,07;-3,3;45,2;58;21;36,2;15;46,7;2;7;23;24;29;-0,13;0,49
Kenny Tete;NED;DF;Fulham;PremierLeague;27;14;13;8;17;1,07;47;10;4;867;9,6;1;61;0;1;0;0;2;0;0,9;0,4;20;54;38;15;50000;2600000;4;0,25;0,1;50,6;20;9;45;19;57,9;3;16;35;14;21;-0,76;-1,29
Kevin Schade;GER;DL;Brentford;PremierLeague;21;11;10;9;19;1,45;39;3;8;333;3,7;2;65;1;2;0;0;0;0;1,2;0,7;8;9;23;22;10000;520000;8;0,25;0,8;45,2;14;2;14,3;5;0;0;1;4;8;5;1,16;0,66
Kieffer Moore;WAL;DL;Bournemouth;PremierLeague;30;8;13;9;16;0,88;48;0;8;108;1,2;1;67;0;1;0;0;0;0;1,5;0,2;2;4;15;2,5;15000;780000;6;0,17;-0,5;44,4;3;1;33,3;0;;0;0;0;3;2;1,21;1,97
Wataru Endo;JPN;CC;Liverpool;PremierLeague;30;29;24;10;4;2,21;82;20;9;1722;19,1;1;41;0;1;0;0;10;0;0,5;1,7;10;101;21;13;50000;2600000;10;0,1;0,5;61,3;16;10;62,5;61;32,8;2;20;31;42;16;0,35;0,19
Pervis Estupiñán;ECU;DF;Brighton;PremierLeague;25;19;12;12;14;1,47;48;15;4;1243;13,8;2;62;3;2;0;0;4;0;1;3,5;47;83;88;32;50000;2600000;11;0,18;1;59,8;23;9;39,1;30;46,7;4;21;20;23;26;-0,05;-0,54
Maxime Estève;FRA;DF;Burnley;PremierLeague;21;16;5;9;24;0,75;24;15;1;1309;14,5;0;78;0;0;0;0;6;0;0,3;0;15;40;3;;5000;260000;7;0;-0,3;47,4;3;1;33,3;32;56,3;10;27;56;18;28;0,46;0,23
Konstantinos Mavropanos;GRE;DF;West Ham;PremierLeague;25;19;14;10;14;1,32;52;16;3;1500;16,7;1;74;0;1;0;0;2;0;1,2;0,2;10;38;2;22;50000;2600000;12;0,08;-0,2;41,1;6;2;33,3;21;81;13;23;79;27;27;0,66;0,27
Kostas Tsimikas;GRE;DF;Liverpool;PremierLeague;27;13;24;10;4;2,15;82;8;5;679;7,5;0;41;3;0;0;0;0;0;0,1;1;24;31;73;;75000;3900000;3;0;-0,1;61,3;15;4;26,7;15;60;1;6;10;16;7;0,01;-0,41
Romain Faivre;FRA;CC;Bournemouth;PremierLeague;25;5;13;9;16;0,4;48;0;5;41;0,5;0;67;0;0;0;0;1;0;0,2;0;4;5;4;;35000;1820000;2;0;-0,2;44,4;7;2;28,6;3;0;0;0;0;0;1;-1,88;1,08
